SecurityCode,Date,LastPrice,Return
GOOG US,7/19/2010,459.605,-6.9663172
GOOG US,7/20/2010,466.18,1.4305763
GOOG US,7/21/2010,481.59,3.3055901
GOOG US,7/22/2010,477.5,-0.8492701
GOOG US,7/23/2010,484.81,1.5308901
GOOG US,7/26/2010,490.06,1.0828985
GOOG US,7/27/2010,488.97,-0.2224217
GOOG US,7/28/2010,492.63,0.7485122
GOOG US,7/29/2010,484.35,-1.6807746
GOOG US,7/30/2010,484.99,0.1321359
GOOG US,8/2/2010,484.85,-0.0288666
GOOG US,8/3/2010,490.41,1.1467464
GOOG US,8/4/2010,489.83,-0.1182684
GOOG US,8/5/2010,506.32,3.3664741
GOOG US,8/6/2010,508.1,0.3515563
GOOG US,8/9/2010,500.22,-1.5508758
GOOG US,8/10/2010,505.35,1.0255488
GOOG US,8/11/2010,503.71,-0.3245276
GOOG US,8/12/2010,491.74,-2.3763674
GOOG US,8/13/2010,492.01,0.0549071
GOOG US,8/16/2010,486.35,-1.1503831
GOOG US,8/17/2010,485.59,-0.1562661
GOOG US,8/18/2010,490.52,1.0152598
GOOG US,8/19/2010,482.15,-1.7063524
GOOG US,8/20/2010,467.97,-2.9409935
GOOG US,8/23/2010,462.02,-1.271449
GOOG US,8/24/2010,464.07,0.4437037
GOOG US,8/25/2010,451.39,-2.7323464
GOOG US,8/26/2010,454.62,0.7155675
GOOG US,8/27/2010,450.98,-0.8006687
GOOG US,8/30/2010,458.83,1.7406537
GOOG US,8/31/2010,452.69,-1.3381863
GOOG US,9/1/2010,450.02,-0.5898076
GOOG US,9/2/2010,460.335,2.2921204
GOOG US,9/3/2010,463.18,0.6180282
GOOG US,9/7/2010,470.3,1.5371994
GOOG US,9/8/2010,464.4,-1.2545184
GOOG US,9/9/2010,470.58,1.3307494
GOOG US,9/10/2010,476.18,1.1900208
GOOG US,9/13/2010,476.14,-8.40E-03
GOOG US,9/14/2010,482.27,1.2874365
GOOG US,9/15/2010,480.43,-0.381529
GOOG US,9/16/2010,480.64,0.0437108
GOOG US,9/17/2010,481.06,0.0873835
GOOG US,9/20/2010,490.15,1.8895772
GOOG US,9/21/2010,508.28,3.6988677
GOOG US,9/22/2010,513.46,1.0191233
GOOG US,9/23/2010,516,0.4946831
GOOG US,9/24/2010,513.48,-0.4883721
GOOG US,9/27/2010,527.29,2.6894913
GOOG US,9/28/2010,530.41,0.5917048
GOOG US,9/29/2010,527.17,-0.6108482
GOOG US,9/30/2010,527.69,0.0986399
GOOG US,10/1/2010,525.79,-0.3600599
GOOG US,10/4/2010,525.62,-0.0323323
GOOG US,10/5/2010,522.35,-0.6221224
GOOG US,10/6/2010,538.23,3.0401072
GOOG US,10/7/2010,534.35,-0.7208814
GOOG US,10/8/2010,530.01,-0.8122017
GOOG US,10/11/2010,536.35,1.1962038
GOOG US,10/12/2010,538.84,0.4642491
GOOG US,10/13/2010,541.39,0.4732388
GOOG US,10/14/2010,543.3,0.3527956
GOOG US,10/15/2010,540.93,-0.4362231
GOOG US,10/18/2010,601.45,11.1881389
GOOG US,10/19/2010,617.71,2.7034666
GOOG US,10/20/2010,607.83,-1.5994561
GOOG US,10/21/2010,607.98,0.024678
GOOG US,10/22/2010,611.99,0.6595612
GOOG US,10/25/2010,612.53,0.0882367
GOOG US,10/26/2010,616.5,0.6481315
GOOG US,10/27/2010,618.6,0.3406326
GOOG US,10/28/2010,616.47,-0.3443259
GOOG US,10/29/2010,618.58,0.3422713
GOOG US,11/1/2010,613.7,-0.7889036
GOOG US,11/2/2010,615,0.2118299
GOOG US,11/3/2010,615.6,0.097561
GOOG US,11/4/2010,620.18,0.7439896
GOOG US,11/5/2010,624.27,0.659486
GOOG US,11/8/2010,625.08,0.1297515
GOOG US,11/9/2010,626.77,0.2703654
GOOG US,11/10/2010,624.82,-0.3111189
GOOG US,11/11/2010,622.88,-0.3104894
GOOG US,11/12/2010,617.19,-0.9134986
GOOG US,11/15/2010,603.29,-2.2521428
GOOG US,11/16/2010,595.47,-1.2962257
GOOG US,11/17/2010,583.72,-1.9732312
GOOG US,11/18/2010,583.55,-0.0291236
GOOG US,11/19/2010,596.56,2.2294576
GOOG US,11/22/2010,590.83,-0.9605069
GOOG US,11/23/2010,591.22,0.0660088
GOOG US,11/24/2010,583.01,-1.388654
GOOG US,11/26/2010,594.97,2.0514228
GOOG US,11/29/2010,590,-0.8353362
GOOG US,11/30/2010,582.11,-1.3372881
GOOG US,12/1/2010,555.71,-4.5352253
GOOG US,12/2/2010,564.35,1.5547678
GOOG US,12/3/2010,571.82,1.3236467
GOOG US,12/6/2010,573,0.2063586
GOOG US,12/7/2010,578.36,0.9354276
GOOG US,12/8/2010,587.14,1.5180856
GOOG US,12/9/2010,590.54,0.5790782
GOOG US,12/10/2010,591.5,0.1625631
GOOG US,12/13/2010,592.21,0.1200338
GOOG US,12/14/2010,594.62,0.4069502
GOOG US,12/15/2010,594.91,0.0487706
GOOG US,12/16/2010,590.3,-0.7749071
GOOG US,12/17/2010,591.71,0.2388616
GOOG US,12/20/2010,590.8,-0.1537916
GOOG US,12/21/2010,595.06,0.7210562
GOOG US,12/22/2010,603.07,1.3460827
GOOG US,12/23/2010,605.49,0.4012801
GOOG US,12/27/2010,604.23,-0.2080959
GOOG US,12/28/2010,602.38,-0.3061748
GOOG US,12/29/2010,598.92,-0.5743883
GOOG US,12/30/2010,601,0.3472918
GOOG US,12/31/2010,598.86,-0.3560732
