GOOG US Equity
IBM US Equity
YHOO US Equity
FB US Equity
AMZN US Equity
BABA US Equity
JD US Equity
GS US Equity
F US Equity
AAPL US Equity
GOOG US 12/20/14 C580 Equity
IBM US 12/20/14 C175 Equity
YHOO US 12/20/14 C50 Equity
FB US 12/20/14 C80 Equity
AMZN US 12/20/14 C290 Equity
M US 12/20/14 C60 Equity
FOSL US 12/20/14 C100 Equity
TSLA US 12/20/14 C240 Equity
TWTR 0.25 09/15/19 CORP
AAL 9 09/15/16 Corp
BA 8.75 09/15/31 Corp
VZ 8.35 12/15/30 Corp
KO 8.5 02/01/22 Corp
